Result,name,Context
 fit_descendant_date updated.,12840,"start_time=1944-06-05T00:00:00Z, end_time=1944-06-18T00:00:00Z, point_in_time=1944-01-01T00:00:00Z"
✅ Updated coords and dates,12840,"name=Normandy landings, descendant_count=13"
✅ FOUND in military_events table ,12879,"id=12879, qid='Q387093', name='Battle of Arnhem', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Operation%20MARKET-GARDEN%20-%2082.Airborne%20near%20Grave.jpg', description='battle of World War II', start_time='1944-10-22T00:00:00Z', end_time='1944-10-23T00:00:00Z', point_in_time='1944-10-22T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Arnhem', lat=51.976686, lon=5.72525, depth_index='12379_272_2_20_2_3', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,12879,"start_time='1944-10-22T00:00:00Z', end_time='1944-10-23T00:00:00Z', point_in_time='1944-10-22T00:00:00Z'"
 fit_descendant_date updated.,12879,"start_time=1944-10-22T00:00:00Z, end_time=1944-10-23T00:00:00Z, point_in_time=1944-10-22T00:00:00Z"
✅ Updated coords and dates,12879,"name=Battle of Arnhem, descendant_count=1"
✅ FOUND in military_events table ,13423,"id=13423, qid='Q713516', name='Doolittle Raid', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Photo-DoolittleRaid-1942-4-18-Oku-Remains-1.png', description='first air raid on the Japanese mainland conducted by the U.S. military on April 18, 1942', start_time='1942-04-18T00:00:00Z', end_time='1942-04-18T00:00:00Z', point_in_time='1942-04-18T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Doolittle_Raid', lat=35.751814, lon=139.769067, depth_index='12379_349_4_2_82_1', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,13423,"start_time='1942-04-18T00:00:00Z', end_time='1942-04-18T00:00:00Z', point_in_time='1942-04-18T00:00:00Z'"
 fit_descendant_date updated.,13423,"start_time=1942-04-18T00:00:00Z, end_time=1942-04-18T00:00:00Z, point_in_time=1942-04-18T00:00:00Z"
✅ Updated coords and dates,13423,"name=Doolittle Raid, descendant_count=1"
✅ FOUND in military_events table ,13469,"id=13469, qid='Q707238', name='Battle of Imphal', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Gurkhas%20advancing%20with%20Lee%20tanks%20to%20clear%20the%20Japanese%20from%20Imphal-Kohima%20road.jpg', description='battle fought in 1944', start_time='1944-03-20T00:00:00Z', end_time='1944-03-26T00:00:00Z', point_in_time='1944-03-26T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Imphal', lat=24.81, lon=93.94, depth_index='12379_349_28_4_6_1', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,13469,"start_time='1944-03-20T00:00:00Z', end_time='1944-03-26T00:00:00Z', point_in_time='1944-03-26T00:00:00Z'"
 fit_descendant_date updated.,13469,"start_time=1944-03-20T00:00:00Z, end_time=1944-03-26T00:00:00Z, point_in_time=1944-03-26T00:00:00Z"
✅ Updated coords and dates,13469,"name=Battle of Imphal, descendant_count=1"
✅ FOUND in military_events table ,13471,"id=13471, qid='Q383614', name='Battle of Kohima', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/IND%20003698%20Garrison%20Hill%20Kohima.jpg', description='1944 battle around Kohima, Nagaland, India', start_time='1944-04-08T00:00:00Z', end_time='1944-05-13T00:00:00Z', point_in_time='1944-04-08T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Kohima', lat=25.6677, lon=94.103, depth_index='12379_349_28_4_6_2', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,13471,"start_time='1944-04-08T00:00:00Z', end_time='1944-05-13T00:00:00Z', point_in_time='1944-04-08T00:00:00Z'"
 fit_descendant_date updated.,13471,"start_time=1944-04-08T00:00:00Z, end_time=1944-05-13T00:00:00Z, point_in_time=1944-04-08T00:00:00Z"
✅ Updated coords and dates,13471,"name=Battle of Kohima, descendant_count=1"
✅ FOUND in military_events table ,15914,"id=15914, qid='Q27761867', name='Raqqa Campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Northern%20Raqqa%20Offensive%20%28November%202016%29.svg', description='2016-2017 offensive to liberate Raqqa from ISIL', start_time='2017-03-22T00:00:00Z', end_time='2017-06-06T00:00:00Z', point_in_time='2017-03-22T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Raqqa_campaign_(2016%E2%80%932017)', lat=35.893333333, lon=38.7823611105, depth_index='15807_13_37_8_14_2', depth_level=6, descendant_count=2"
✅ UPDATED in military_events table,15914,"start_time='2017-03-22T00:00:00Z', end_time='2017-06-06T00:00:00Z', point_in_time='2017-03-22T00:00:00Z'"
 fit_descendant_date updated.,15914,"start_time=2017-03-22T00:00:00Z, end_time=2017-06-06T00:00:00Z, point_in_time=2017-03-22T00:00:00Z"
✅ Updated coords and dates,15914,"name=Raqqa Campaign, descendant_count=2"
✅ FOUND in military_events table ,15926,"id=15926, qid='Q44812560', name='Eastern Syria campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Destruction%20of%20ISIS.svg', description='2017 military operation', start_time='2017-09-14T00:00:00Z', end_time='2017-12-06T00:00:00Z', point_in_time='2017-10-17T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Eastern_Syria_campaign', lat=34.889816666499996, lon=40.5355, depth_index='15807_13_37_8_17_2', depth_level=6, descendant_count=3"
✅ UPDATED in military_events table,15926,"start_time='2017-09-14T00:00:00Z', end_time='2017-12-06T00:00:00Z', point_in_time='2017-10-17T00:00:00Z'"
 fit_descendant_date updated.,15926,"start_time=2017-09-14T00:00:00Z, end_time=2017-12-06T00:00:00Z, point_in_time=2017-10-17T00:00:00Z"
✅ Updated coords and dates,15926,"name=Eastern Syria campaign, descendant_count=3"
✅ FOUND in military_events table ,15930,"id=15930, qid='Q49413597', name='Rif Dimashq offensive (February–April 2018)', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Operation%20Damascus%20Steel.svg', description='2018 military offensive', start_time='2018-04-07T00:00:00Z', end_time='2018-04-07T00:00:00Z', point_in_time='2018-04-07T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Rif_Dimashq_offensive_(February%E2%80%93April_2018)', lat=33.57115, lon=36.408219444, depth_index='15807_13_37_8_17_3', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,15930,"start_time='2018-04-07T00:00:00Z', end_time='2018-04-07T00:00:00Z', point_in_time='2018-04-07T00:00:00Z'"
 fit_descendant_date updated.,15930,"start_time=2018-04-07T00:00:00Z, end_time=2018-04-07T00:00:00Z, point_in_time=2018-04-07T00:00:00Z"
✅ Updated coords and dates,15930,"name=Rif Dimashq offensive (February–April 2018), descendant_count=1"
✅ FOUND in military_events table ,16172,"id=16172, qid='Q114565965', name='10 October 2022 missile strikes on Ukraine', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Kyiv%20after%20Russian%20shelling%2C%202022-10-10%20%28073%29.webp', description='2022 Russian attacks during its invasion of Ukraine', start_time='2022-10-10T00:00:00Z', end_time='2022-10-10T00:00:00Z', point_in_time='2022-10-10T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/10_October_2022_missile_strikes_on_Ukraine', lat=50.444, lon=30.51306944, depth_index='16070_4_18_38_1_1', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,16172,"start_time='2022-10-10T00:00:00Z', end_time='2022-10-10T00:00:00Z', point_in_time='2022-10-10T00:00:00Z'"
 fit_descendant_date updated.,16172,"start_time=2022-10-10T00:00:00Z, end_time=2022-10-10T00:00:00Z, point_in_time=2022-10-10T00:00:00Z"
✅ Updated coords and dates,16172,"name=10 October 2022 missile strikes on Ukraine, descendant_count=1"
✅ FOUND in military_events table ,16210,"id=16210, qid='Q122789473', name='Sevastopol attacks (2022–present)', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D0%BE%D0%B2%D1%80%D0%B5%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F%20%D1%88%D1%82%D0%B0%D0%B1%D0%B0%20%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%84%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D0%B5%2022.09.2023%20v.2.jpg', description='events in the city during the Russian invasion of Ukraine since 2022', start_time='2023-09-13T00:00:00Z', end_time='2023-09-13T00:00:00Z', point_in_time='2023-09-13T00:00:00Z', wiki_url=None, lat=44.610277777, lon=33.533333333, depth_index='16070_4_18_49_7_6', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,16210,"start_time='2023-09-13T00:00:00Z', end_time='2023-09-13T00:00:00Z', point_in_time='2023-09-13T00:00:00Z'"
 fit_descendant_date updated.,16210,"start_time=2023-09-13T00:00:00Z, end_time=2023-09-13T00:00:00Z, point_in_time=2023-09-13T00:00:00Z"
✅ Updated coords and dates,16210,"name=Sevastopol attacks (2022–present), descendant_count=1"
✅ FOUND in military_events table ,16241,"id=16241, qid='Q111310085', name='Mass killings during the Siege of Mariupol', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Mariupol%20downtown%20street%20destroyed%20by%20the%20Russian%20siege.jpg', description='targeted policy of extermination of the population of the Ukrainian city of Mariupol by Russian troops', start_time='2022-03-18T00:00:00Z', end_time='2022-05-20T00:00:00Z', point_in_time='2022-03-18T00:00:00Z', wiki_url=None, lat=47.1, lon=37.575, depth_index='16070_4_18_59_5_3', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,16241,"start_time='2022-03-18T00:00:00Z', end_time='2022-05-20T00:00:00Z', point_in_time='2022-03-18T00:00:00Z'"
 fit_descendant_date updated.,16241,"start_time=2022-03-18T00:00:00Z, end_time=2022-05-20T00:00:00Z, point_in_time=2022-03-18T00:00:00Z"
✅ Updated coords and dates,16241,"name=Mass killings during the Siege of Mariupol, descendant_count=1"
✅ FOUND in military_events table ,16254,"id=16254, qid='Q111078529', name='Battle of Sievierodonetsk', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Attack%20on%20the%20center%20of%20Severodonetsk%20by%20Russian%20forces.jpg', description='military engagement during the 2022 Russian invasion of Ukraine', start_time='2022-06-06T00:00:00Z', end_time='2022-06-25T00:00:00Z', point_in_time='2022-06-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Sievierodonetsk_(2022)', lat=48.941666666, lon=38.474166666, depth_index='16070_4_18_59_11_7', depth_level=6, descendant_count=1"
✅ UPDATED in military_events table,16254,"start_time='2022-06-06T00:00:00Z', end_time='2022-06-25T00:00:00Z', point_in_time='2022-06-01T00:00:00Z'"
 fit_descendant_date updated.,16254,"start_time=2022-06-06T00:00:00Z, end_time=2022-06-25T00:00:00Z, point_in_time=2022-06-01T00:00:00Z"
✅ Updated coords and dates,16254,"name=Battle of Sievierodonetsk, descendant_count=1"
✅ FOUND in military_events table ,16256,"id=16256, qid='Q112132985', name='Battle of Lyman', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Russian%20invasion%20of%20Ukraine.svg', description='military engagement in the 2022 Russian invasion of Ukraine', start_time='2022-05-23T00:00:00Z', end_time='2022-10-02T00:00:00Z', point_in_time='2022-05-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Lyman', lat=48.99, lon=37.81, depth_index='16070_4_18_59_11_8', depth_level=6, descendant_count=2"
✅ UPDATED in military_events table,16256,"start_time='2022-05-23T00:00:00Z', end_time='2022-10-02T00:00:00Z', point_in_time='2022-05-01T00:00:00Z'"
 fit_descendant_date updated.,16256,"start_time=2022-05-23T00:00:00Z, end_time=2022-10-02T00:00:00Z, point_in_time=2022-05-01T00:00:00Z"
✅ Updated coords and dates,16256,"name=Battle of Lyman, descendant_count=2"
✅ FOUND in military_events table ,5915,"id=5915, qid='Q8050376', name='Yavapai War', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Rescue%20of%20Lt.%20Charles%20King.jpg', description='armed conflict in the United States from 1871 to 1875', start_time='1872-12-28T00:00:00Z', end_time='1874-11-01T00:00:00Z', point_in_time='1872-12-28T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Yavapai_War', lat=33.934633333, lon=-111.61531111, depth_index='5781_44_5_13_1', depth_level=5, descendant_count=3"
✅ UPDATED in military_events table,5915,"start_time='1872-12-28T00:00:00Z', end_time='1874-11-01T00:00:00Z', point_in_time='1872-12-28T00:00:00Z'"
 fit_descendant_date updated.,5915,"start_time=1872-12-28T00:00:00Z, end_time=1874-11-01T00:00:00Z, point_in_time=1872-12-28T00:00:00Z"
✅ Updated coords and dates,5915,"name=Yavapai War, descendant_count=3"
✅ FOUND in military_events table ,7522,"id=7522, qid='Q1190029', name='Invasion of France', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Si%C3%A8ge%20Quiberon.jpg', description='1795 invasion by counter-revolutionaries and British', start_time='1795-07-06T00:00:00Z', end_time='1795-07-07T00:00:00Z', point_in_time='1795-07-06T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Invasion_of_France_(1795)', lat=47.584722222, lon=-3.079444444, depth_index='7364_19_83_5_15', depth_level=5, descendant_count=1"
✅ UPDATED in military_events table,7522,"start_time='1795-07-06T00:00:00Z', end_time='1795-07-07T00:00:00Z', point_in_time='1795-07-06T00:00:00Z'"
 fit_descendant_date updated.,7522,"start_time=1795-07-06T00:00:00Z, end_time=1795-07-07T00:00:00Z, point_in_time=1795-07-06T00:00:00Z"
✅ Updated coords and dates,7522,"name=Invasion of France, descendant_count=1"
✅ FOUND in military_events table ,7558,"id=7558, qid='Q7263697', name='Italian campaigns of the French Revolutionary Wars', image_url=None, description='Napoleonic conflict', start_time='1795-06-24T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1795-06-24T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Italian_campaigns_of_the_French_Revolutionary_Wars', lat=45.446155, lon=8.93375, depth_index='7364_19_83_5_52', depth_level=5, descendant_count=5"
✅ UPDATED in military_events table,7558,"start_time='1795-06-24T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1795-06-24T00:00:00Z'"
 fit_descendant_date updated.,7558,"start_time=1795-06-24T00:00:00Z, end_time=1799-09-25T00:00:00Z, point_in_time=1795-06-24T00:00:00Z"
✅ Updated coords and dates,7558,"name=Italian campaigns of the French Revolutionary Wars, descendant_count=5"
✅ FOUND in military_events table ,7567,"id=7567, qid='Q43081512', name='Mediterranean campaign of 1793–1796', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Agamemnon%20and%20Ca%20Ira%201795.jpg', description=None, start_time='1792-12-21T00:00:00Z', end_time='1796-12-20T00:00:00Z', point_in_time='1792-12-21T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Mediterranean_campaign_of_1793%E2%80%931796', lat=41.005572222, lon=4.007916667, depth_index='7364_19_83_5_56', depth_level=5, descendant_count=3"
✅ UPDATED in military_events table,7567,"start_time='1792-12-21T00:00:00Z', end_time='1796-12-20T00:00:00Z', point_in_time='1792-12-21T00:00:00Z'"
 fit_descendant_date updated.,7567,"start_time=1792-12-21T00:00:00Z, end_time=1796-12-20T00:00:00Z, point_in_time=1792-12-21T00:00:00Z"
✅ Updated coords and dates,7567,"name=Mediterranean campaign of 1793–1796, descendant_count=3"
✅ FOUND in military_events table ,7573,"id=7573, qid='Q8628', name='War in the Vendée', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/GuerreVend%C3%A9e%201.jpg', description='1793–1796 set of battles between the French revolutionaries and the royalists', start_time='1793-03-13T00:00:00Z', end_time='1815-06-20T00:00:00Z', point_in_time='1793-03-13T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/War_in_the_Vend%C3%A9e', lat=47.646805555, lon=-1.0025, depth_index='7364_19_83_5_59', depth_level=5, descendant_count=116"
✅ UPDATED in military_events table,7573,"start_time='1793-03-13T00:00:00Z', end_time='1815-06-20T00:00:00Z', point_in_time='1793-03-13T00:00:00Z'"
 fit_descendant_date updated.,7573,"start_time=1793-03-13T00:00:00Z, end_time=1815-06-20T00:00:00Z, point_in_time=1793-03-13T00:00:00Z"
✅ Updated coords and dates,7573,"name=War in the Vendée, descendant_count=116"
✅ FOUND in military_events table ,7690,"id=7690, qid='Q324438', name='War of the Pyrenees', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20Panissars.jpg', description='conflict (1793-1795)', start_time='1793-04-20T00:00:00Z', end_time='1795-06-14T00:00:00Z', point_in_time='1793-04-20T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/War_of_the_Pyrenees', lat=41.25432778, lon=3.303471665, depth_index='7364_19_83_5_60', depth_level=5, descendant_count=28"
✅ UPDATED in military_events table,7690,"start_time='1793-04-20T00:00:00Z', end_time='1795-06-14T00:00:00Z', point_in_time='1793-04-20T00:00:00Z'"
 fit_descendant_date updated.,7690,"start_time=1793-04-20T00:00:00Z, end_time=1795-06-14T00:00:00Z, point_in_time=1793-04-20T00:00:00Z"
✅ Updated coords and dates,7690,"name=War of the Pyrenees, descendant_count=28"
✅ FOUND in military_events table ,7766,"id=7766, qid='Q1152249', name='The Second Italian Campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Bonaparte%20a%20Marengo.jpg', description=""Bonaparte's campaign in Italy (1800)"", start_time='1799-04-27T00:00:00Z', end_time='1799-06-19T00:00:00Z', point_in_time='1799-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Marengo_campaign', lat=45.29165, lon=9.558335, depth_index='7364_19_83_6_10', depth_level=5, descendant_count=2"
✅ UPDATED in military_events table,7766,"start_time='1799-04-27T00:00:00Z', end_time='1799-06-19T00:00:00Z', point_in_time='1799-01-01T00:00:00Z'"
 fit_descendant_date updated.,7766,"start_time=1799-04-27T00:00:00Z, end_time=1799-06-19T00:00:00Z, point_in_time=1799-01-01T00:00:00Z"
✅ Updated coords and dates,7766,"name=The Second Italian Campaign, descendant_count=2"
✅ FOUND in military_events table ,7793,"id=7793, qid='Q944941', name='Irish Rebellion of 1798', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Vinegar%20hill.jpg', description='1798 rebellion during the French Revolutionary Wars', start_time='1798-05-24T00:00:00Z', end_time='1798-09-23T00:00:00Z', point_in_time='1798-05-24T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Irish_Rebellion_of_1798', lat=53.516000000000005, lon=-7.564444444, depth_index='7364_19_83_6_37', depth_level=5, descendant_count=25"
✅ UPDATED in military_events table,7793,"start_time='1798-05-24T00:00:00Z', end_time='1798-09-23T00:00:00Z', point_in_time='1798-05-24T00:00:00Z'"
 fit_descendant_date updated.,7793,"start_time=1798-05-24T00:00:00Z, end_time=1798-09-23T00:00:00Z, point_in_time=1798-05-24T00:00:00Z"
✅ Updated coords and dates,7793,"name=Irish Rebellion of 1798, descendant_count=25"
✅ FOUND in military_events table ,7819,"id=7819, qid='Q13581715', name='Mediterranean campaign of 1798', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/The%20Battle%20of%20the%20Nile.jpg', description='failed French military campaign led by Napoleon Bonaparte to support the Sultanate of Mysore against Britain', start_time='1798-06-10T00:00:00Z', end_time='1801-05-16T00:00:00Z', point_in_time='1798-06-10T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Mediterranean_campaign_of_1798', lat=31.915957, lon=17.171229167, depth_index='7364_19_83_6_38', depth_level=5, descendant_count=25"
✅ UPDATED in military_events table,7819,"start_time='1798-06-10T00:00:00Z', end_time='1801-05-16T00:00:00Z', point_in_time='1798-06-10T00:00:00Z'"
 fit_descendant_date updated.,7819,"start_time=1798-06-10T00:00:00Z, end_time=1801-05-16T00:00:00Z, point_in_time=1798-06-10T00:00:00Z"
✅ Updated coords and dates,7819,"name=Mediterranean campaign of 1798, descendant_count=25"
